"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
5,0.2,-0.5,0.70452,0,0,0
5.2,0.2,-0.5,0.69801,0,0,0
5.4,0.2,-0.5,0.69131,0,0,0
5.6,0.2,-0.5,0.68441,0,0,0
5.8,0.2,-0.5,0.67733,0,0,0
6,0.2,-0.5,0.67008,0,0,0
6.2,0.2,-0.5,0.66265,0,0,0
6.4,0.2,-0.5,0.65506,0,0,0
6.6,0.2,-0.5,0.64732,0,0,0
6.8,0.2,-0.5,0.63943,0,0,0
7,0.2,-0.5,0.63141,0,0,0
7.2,0.2,-0.5,0.62325,0,0,0
7.4,0.2,-0.5,0.61497,0,0,0
7.6,0.2,-0.5,0.60657,0,0,0
7.8,0.2,-0.5,0.59807,0,0,0
8,0.2,-0.5,0.58947,0,0,0
8.2,0.2,-0.5,0.58078,0,0,0
8.4,0.2,-0.5,0.57201,0,0,0
8.6,0.2,-0.5,0.56317,0,0,0
8.8,0.2,-0.5,0.55426,0,0,0
9,0.2,-0.5,0.5453,0,0,0
9.2,0.2,-0.5,0.5363,0,0,0
9.4,0.2,-0.5,0.52725,0,0,0
9.6,0.2,-0.5,0.51819,0,0,0
9.8,0.2,-0.5,0.5091,0,0,0
10,0.2,-0.5,0.5,0,0,0
10.2,0.2,-0.5,0.49091,0,0,0
10.4,0.2,-0.5,0.48182,0,0,0
10.6,0.2,-0.5,0.47275,0,0,0
10.8,0.2,-0.5,0.46371,0,0,0
11,0.2,-0.5,0.4547,0,0,0
11.2,0.2,-0.5,0.44574,0,0,0
11.4,0.2,-0.5,0.43684,0,0,0
11.6,0.2,-0.5,0.42799,0,0,0
11.8,0.2,-0.5,0.41922,0,0,0
12,0.2,-0.5,0.41053,0,0,0
12.2,0.2,-0.5,0.40193,0,0,0
12.4,0.2,-0.5,0.39343,0,0,0
12.6,0.2,-0.5,0.38504,0,0,0
12.8,0.2,-0.5,0.37675,0,0,0
13,0.2,-0.5,0.3686,0,0,0
13.2,0.2,-0.5,0.36057,0,0,0
13.4,0.2,-0.5,0.35268,0,0,0
13.6,0.2,-0.5,0.34494,0,0,0
13.8,0.2,-0.5,0.33735,0,0,0
14,0.2,-0.5,0.32993,0,0,0
14.2,0.2,-0.5,0.32267,0,0,0
14.4,0.2,-0.5,0.31559,0,0,0
14.6,0.2,-0.5,0.3087,0,0,0
14.8,0.2,-0.5,0.30199,0,0,0
15,0.2,-0.5,0.29548,0,0,0
15.2,0.2,-0.5,0.28918,0,0,0
15.4,0.2,-0.5,0.28308,0,0,0
15.6,0.2,-0.5,0.2772,0,0,0
15.8,0.2,-0.5,0.27153,0,0,0
16,0.2,-0.5,0.2661,0,0,0
16.2,0.2,-0.5,0.26089,0,0,0
16.4,0.2,-0.5,0.25592,0,0,0
16.6,0.2,-0.5,0.2512,0,0,0
16.8,0.2,-0.5,0.24672,0,0,0
17,0.2,-0.5,0.24248,0,0,0
17.2,0.2,-0.5,0.23851,0,0,0
17.4,0.2,-0.5,0.23479,0,0,0
17.6,0.2,-0.5,0.23133,0,0,0
17.8,0.2,-0.5,0.22813,0,0,0
18,0.2,-0.5,0.22521,0,0,0
18.2,0.2,-0.5,0.22255,0,0,0
18.4,0.2,-0.5,0.22017,0,0,0
18.6,0.2,-0.5,0.21806,0,0,0
18.8,0.2,-0.5,0.21623,0,0,0
19,0.2,-0.5,0.21468,0,0,0
19.2,0.2,-0.5,0.21341,0,0,0
19.4,0.2,-0.5,0.21242,0,0,0
19.6,0.2,-0.5,0.21171,0,0,0
19.8,0.2,-0.5,0.21129,0,0,0
20,0.2,-0.5,0.21115,0,0,0
0,0.4,-0.5,0.78886,0,0,0
0.2,0.4,-0.5,0.78872,0,0,0
0.4,0.4,-0.5,0.7883,0,0,0
0.6,0.4,-0.5,0.78759,0,0,0
0.8,0.4,-0.5,0.7866,0,0,0
1,0.4,-0.5,0.78533,0,0,0
1.2,0.4,-0.5,0.78378,0,0,0
1.4,0.4,-0.5,0.78195,0,0,0
1.6,0.4,-0.5,0.77984,0,0,0
1.8,0.4,-0.5,0.77746,0,0,0
2,0.4,-0.5,0.7748,0,0,0
2.2,0.4,-0.5,0.77187,0,0,0
2.4,0.4,-0.5,0.76868,0,0,0
2.6,0.4,-0.5,0.76522,0,0,0
2.8,0.4,-0.5,0.7615,0,0,0
3,0.4,-0.5,0.75752,0,0,0
3.2,0.4,-0.5,0.75329,0,0,0
3.4,0.4,-0.5,0.74881,0,0,0
3.6,0.4,-0.5,0.74408,0,0,0
3.8,0.4,-0.5,0.73911,0,0,0
4,0.4,-0.5,0.73391,0,0,0
4.2,0.4,-0.5,0.72847,0,0,0
4.4,0.4,-0.5,0.72281,0,0,0
4.6,0.4,-0.5,0.71693,0,0,0
4.8,0.4,-0.5,0.71083,0,0,0
5,0.4,-0.5,0.70452,0,0,0
5.2,0.4,-0.5,0.69801,0,0,0
5.4,0.4,-0.5,0.69131,0,0,0
5.6,0.4,-0.5,0.68441,0,0,0
5.8,0.4,-0.5,0.67733,0,0,0
6,0.4,-0.5,0.67008,0,0,0
6.2,0.4,-0.5,0.66265,0,0,0
6.4,0.4,-0.5,0.65507,0,0,0
6.6,0.4,-0.5,0.64732,0,0,0
6.8,0.4,-0.5,0.63944,0,0,0
7,0.4,-0.5,0.63141,0,0,0
7.2,0.4,-0.5,0.62325,0,0,0
7.4,0.4,-0.5,0.61497,0,0,0
7.6,0.4,-0.5,0.60657,0,0,0
7.8,0.4,-0.5,0.59807,0,0,0
8,0.4,-0.5,0.58947,0,0,0
8.2,0.4,-0.5,0.58078,0,0,0
8.4,0.4,-0.5,0.57201,0,0,0
8.6,0.4,-0.5,0.56317,0,0,0
8.8,0.4,-0.5,0.55426,0,0,0
9,0.4,-0.5,0.5453,0,0,0
9.2,0.4,-0.5,0.5363,0,0,0
9.4,0.4,-0.5,0.52725,0,0,0
9.6,0.4,-0.5,0.51819,0,0,0
9.8,0.4,-0.5,0.5091,0,0,0
10,0.4,-0.5,0.5,0,0,0
10.2,0.4,-0.5,0.49091,0,0,0
10.4,0.4,-0.5,0.48182,0,0,0
10.6,0.4,-0.5,0.47275,0,0,0
10.8,0.4,-0.5,0.46371,0,0,0
11,0.4,-0.5,0.4547,0,0,0
11.2,0.4,-0.5,0.44574,0,0,0
11.4,0.4,-0.5,0.43684,0,0,0
11.6,0.4,-0.5,0.42799,0,0,0
11.8,0.4,-0.5,0.41922,0,0,0
12,0.4,-0.5,0.41053,0,0,0
12.2,0.4,-0.5,0.40193,0,0,0
12.4,0.4,-0.5,0.39343,0,0,0
12.6,0.4,-0.5,0.38504,0,0,0
12.8,0.4,-0.5,0.37675,0,0,0
13,0.4,-0.5,0.3686,0,0,0
13.2,0.4,-0.5,0.36057,0,0,0
13.4,0.4,-0.5,0.35268,0,0,0
13.6,0.4,-0.5,0.34494,0,0,0
13.8,0.4,-0.5,0.33735,0,0,0
14,0.4,-0.5,0.32993,0,0,0
14.2,0.4,-0.5,0.32267,0,0,0
14.4,0.4,-0.5,0.31559,0,0,0
14.6,0.4,-0.5,0.3087,0,0,0
14.8,0.4,-0.5,0.30199,0,0,0
15,0.4,-0.5,0.29548,0,0,0
15.2,0.4,-0.5,0.28917,0,0,0
15.4,0.4,-0.5,0.28308,0,0,0
15.6,0.4,-0.5,0.27719,0,0,0
15.8,0.4,-0.5,0.27153,0,0,0
16,0.4,-0.5,0.2661,0,0,0
16.2,0.4,-0.5,0.26089,0,0,0
16.4,0.4,-0.5,0.25592,0,0,0
16.6,0.4,-0.5,0.2512,0,0,0
16.8,0.4,-0.5,0.24671,0,0,0
17,0.4,-0.5,0.24248,0,0,0
17.2,0.4,-0.5,0.2385,0,0,0
17.4,0.4,-0.5,0.23478,0,0,0
17.6,0.4,-0.5,0.23133,0,0,0
17.8,0.4,-0.5,0.22813,0,0,0
18,0.4,-0.5,0.22521,0,0,0
18.2,0.4,-0.5,0.22255,0,0,0
18.4,0.4,-0.5,0.22017,0,0,0
18.6,0.4,-0.5,0.21806,0,0,0
18.8,0.4,-0.5,0.21623,0,0,0
19,0.4,-0.5,0.21468,0,0,0
19.2,0.4,-0.5,0.21341,0,0,0
19.4,0.4,-0.5,0.21242,0,0,0
19.6,0.4,-0.5,0.21171,0,0,0
19.8,0.4,-0.5,0.21129,0,0,0
20,0.4,-0.5,0.21114,0,0,0
0,0.6,-0.5,0.78886,0,0,0
0.2,0.6,-0.5,0.78872,0,0,0
0.4,0.6,-0.5,0.7883,0,0,0
0.6,0.6,-0.5,0.78759,0,0,0
0.8,0.6,-0.5,0.7866,0,0,0
1,0.6,-0.5,0.78533,0,0,0
1.2,0.6,-0.5,0.78378,0,0,0
1.4,0.6,-0.5,0.78195,0,0,0
1.6,0.6,-0.5,0.77984,0,0,0
1.8,0.6,-0.5,0.77746,0,0,0
2,0.6,-0.5,0.7748,0,0,0
2.2,0.6,-0.5,0.77188,0,0,0
2.4,0.6,-0.5,0.76868,0,0,0
2.6,0.6,-0.5,0.76522,0,0,0
2.8,0.6,-0.5,0.7615,0,0,0
3,0.6,-0.5,0.75753,0,0,0
3.2,0.6,-0.5,0.75329,0,0,0
3.4,0.6,-0.5,0.74881,0,0,0
3.6,0.6,-0.5,0.74408,0,0,0
3.8,0.6,-0.5,0.73912,0,0,0
4,0.6,-0.5,0.73391,0,0,0
4.2,0.6,-0.5,0.72847,0,0,0
4.4,0.6,-0.5,0.72281,0,0,0
4.6,0.6,-0.5,0.71693,0,0,0
4.8,0.6,-0.5,0.71083,0,0,0
5,0.6,-0.5,0.70452,0,0,0
5.2,0.6,-0.5,0.69801,0,0,0
5.4,0.6,-0.5,0.69131,0,0,0
5.6,0.6,-0.5,0.68441,0,0,0
5.8,0.6,-0.5,0.67733,0,0,0
6,0.6,-0.5,0.67008,0,0,0
6.2,0.6,-0.5,0.66265,0,0,0
6.4,0.6,-0.5,0.65507,0,0,0
6.6,0.6,-0.5,0.64732,0,0,0
6.8,0.6,-0.5,0.63944,0,0,0
7,0.6,-0.5,0.63141,0,0,0
7.2,0.6,-0.5,0.62325,0,0,0
7.4,0.6,-0.5,0.61497,0,0,0
7.6,0.6,-0.5,0.60657,0,0,0
7.8,0.6,-0.5,0.59807,0,0,0
8,0.6,-0.5,0.58947,0,0,0
8.2,0.6,-0.5,0.58078,0,0,0
8.4,0.6,-0.5,0.57201,0,0,0
8.6,0.6,-0.5,0.56317,0,0,0
8.8,0.6,-0.5,0.55426,0,0,0
9,0.6,-0.5,0.5453,0,0,0
9.2,0.6,-0.5,0.5363,0,0,0
9.4,0.6,-0.5,0.52725,0,0,0
9.6,0.6,-0.5,0.51819,0,0,0
9.8,0.6,-0.5,0.5091,0,0,0
10,0.6,-0.5,0.5,0,0,0
10.2,0.6,-0.5,0.49091,0,0,0
10.4,0.6,-0.5,0.48182,0,0,0
10.6,0.6,-0.5,0.47275,0,0,0
10.8,0.6,-0.5,0.46371,0,0,0
11,0.6,-0.5,0.4547,0,0,0
11.2,0.6,-0.5,0.44574,0,0,0
11.4,0.6,-0.5,0.43684,0,0,0
11.6,0.6,-0.5,0.42799,0,0,0
11.8,0.6,-0.5,0.41922,0,0,0
12,0.6,-0.5,0.41053,0,0,0
12.2,0.6,-0.5,0.40193,0,0,0
12.4,0.6,-0.5,0.39343,0,0,0
12.6,0.6,-0.5,0.38503,0,0,0
12.8,0.6,-0.5,0.37675,0,0,0
13,0.6,-0.5,0.3686,0,0,0
13.2,0.6,-0.5,0.36057,0,0,0
13.4,0.6,-0.5,0.35268,0,0,0
13.6,0.6,-0.5,0.34494,0,0,0
13.8,0.6,-0.5,0.33735,0,0,0
14,0.6,-0.5,0.32993,0,0,0
14.2,0.6,-0.5,0.32267,0,0,0
14.4,0.6,-0.5,0.31559,0,0,0
14.6,0.6,-0.5,0.3087,0,0,0
14.8,0.6,-0.5,0.30199,0,0,0
15,0.6,-0.5,0.29548,0,0,0
15.2,0.6,-0.5,0.28917,0,0,0
15.4,0.6,-0.5,0.28308,0,0,0
15.6,0.6,-0.5,0.27719,0,0,0
15.8,0.6,-0.5,0.27153,0,0,0
16,0.6,-0.5,0.26609,0,0,0
16.2,0.6,-0.5,0.26089,0,0,0
16.4,0.6,-0.5,0.25592,0,0,0
16.6,0.6,-0.5,0.25119,0,0,0
16.8,0.6,-0.5,0.24671,0,0,0
17,0.6,-0.5,0.24248,0,0,0
17.2,0.6,-0.5,0.2385,0,0,0
17.4,0.6,-0.5,0.23478,0,0,0
17.6,0.6,-0.5,0.23132,0,0,0
17.8,0.6,-0.5,0.22813,0,0,0
18,0.6,-0.5,0.2252,0,0,0
18.2,0.6,-0.5,0.22255,0,0,0
18.4,0.6,-0.5,0.22017,0,0,0
18.6,0.6,-0.5,0.21806,0,0,0
18.8,0.6,-0.5,0.21623,0,0,0
19,0.6,-0.5,0.21468,0,0,0
19.2,0.6,-0.5,0.2134,0,0,0
19.4,0.6,-0.5,0.21242,0,0,0
19.6,0.6,-0.5,0.21171,0,0,0
19.8,0.6,-0.5,0.21128,0,0,0
20,0.6,-0.5,0.21114,0,0,0
0,0.8,-0.5,0.78886,0,0,0
0.2,0.8,-0.5,0.78872,0,0,0
0.4,0.8,-0.5,0.7883,0,0,0
0.6,0.8,-0.5,0.78759,0,0,0
0.8,0.8,-0.5,0.7866,0,0,0
1,0.8,-0.5,0.78533,0,0,0
1.2,0.8,-0.5,0.78378,0,0,0
1.4,0.8,-0.5,0.78195,0,0,0
1.6,0.8,-0.5,0.77984,0,0,0
1.8,0.8,-0.5,0.77746,0,0,0
2,0.8,-0.5,0.7748,0,0,0
2.2,0.8,-0.5,0.77188,0,0,0
2.4,0.8,-0.5,0.76868,0,0,0
2.6,0.8,-0.5,0.76522,0,0,0
2.8,0.8,-0.5,0.7615,0,0,0
3,0.8,-0.5,0.75753,0,0,0
3.2,0.8,-0.5,0.75329,0,0,0
3.4,0.8,-0.5,0.74881,0,0,0
3.6,0.8,-0.5,0.74409,0,0,0
3.8,0.8,-0.5,0.73912,0,0,0
4,0.8,-0.5,0.73391,0,0,0
4.2,0.8,-0.5,0.72848,0,0,0
4.4,0.8,-0.5,0.72281,0,0,0
4.6,0.8,-0.5,0.71693,0,0,0
4.8,0.8,-0.5,0.71083,0,0,0
5,0.8,-0.5,0.70453,0,0,0
5.2,0.8,-0.5,0.69802,0,0,0
5.4,0.8,-0.5,0.69131,0,0,0
5.6,0.8,-0.5,0.68441,0,0,0
5.8,0.8,-0.5,0.67733,0,0,0
6,0.8,-0.5,0.67008,0,0,0
6.2,0.8,-0.5,0.66265,0,0,0
6.4,0.8,-0.5,0.65507,0,0,0
6.6,0.8,-0.5,0.64733,0,0,0
6.8,0.8,-0.5,0.63944,0,0,0
7,0.8,-0.5,0.63141,0,0,0
7.2,0.8,-0.5,0.62325,0,0,0
7.4,0.8,-0.5,0.61497,0,0,0
7.6,0.8,-0.5,0.60657,0,0,0
7.8,0.8,-0.5,0.59807,0,0,0
8,0.8,-0.5,0.58947,0,0,0
8.2,0.8,-0.5,0.58078,0,0,0
8.4,0.8,-0.5,0.57201,0,0,0
8.6,0.8,-0.5,0.56317,0,0,0
8.8,0.8,-0.5,0.55426,0,0,0
9,0.8,-0.5,0.5453,0,0,0
9.2,0.8,-0.5,0.5363,0,0,0
9.4,0.8,-0.5,0.52725,0,0,0
9.6,0.8,-0.5,0.51819,0,0,0
9.8,0.8,-0.5,0.5091,0,0,0
10,0.8,-0.5,0.5,0,0,0
10.2,0.8,-0.5,0.49091,0,0,0
10.4,0.8,-0.5,0.48182,0,0,0
10.6,0.8,-0.5,0.47275,0,0,0
10.8,0.8,-0.5,0.46371,0,0,0
11,0.8,-0.5,0.4547,0,0,0
11.2,0.8,-0.5,0.44574,0,0,0
11.4,0.8,-0.5,0.43684,0,0,0
11.6,0.8,-0.5,0.42799,0,0,0
11.8,0.8,-0.5,0.41922,0,0,0
12,0.8,-0.5,0.41053,0,0,0
12.2,0.8,-0.5,0.40193,0,0,0
12.4,0.8,-0.5,0.39343,0,0,0
12.6,0.8,-0.5,0.38503,0,0,0
12.8,0.8,-0.5,0.37675,0,0,0
13,0.8,-0.5,0.36859,0,0,0
13.2,0.8,-0.5,0.36057,0,0,0
13.4,0.8,-0.5,0.35268,0,0,0
13.6,0.8,-0.5,0.34494,0,0,0
13.8,0.8,-0.5,0.33735,0,0,0
14,0.8,-0.5,0.32993,0,0,0
14.2,0.8,-0.5,0.32267,0,0,0
14.4,0.8,-0.5,0.31559,0,0,0
14.6,0.8,-0.5,0.3087,0,0,0
14.8,0.8,-0.5,0.30199,0,0,0
15,0.8,-0.5,0.29548,0,0,0
15.2,0.8,-0.5,0.28917,0,0,0
15.4,0.8,-0.5,0.28307,0,0,0
15.6,0.8,-0.5,0.27719,0,0,0
15.8,0.8,-0.5,0.27153,0,0,0
16,0.8,-0.5,0.26609,0,0,0
16.2,0.8,-0.5,0.26089,0,0,0
16.4,0.8,-0.5,0.25592,0,0,0
16.6,0.8,-0.5,0.25119,0,0,0
16.8,0.8,-0.5,0.24671,0,0,0
17,0.8,-0.5,0.24248,0,0,0
17.2,0.8,-0.5,0.2385,0,0,0
17.4,0.8,-0.5,0.23478,0,0,0
17.6,0.8,-0.5,0.23132,0,0,0
17.8,0.8,-0.5,0.22813,0,0,0
18,0.8,-0.5,0.2252,0,0,0
18.2,0.8,-0.5,0.22255,0,0,0
18.4,0.8,-0.5,0.22016,0,0,0
18.6,0.8,-0.5,0.21806,0,0,0
18.8,0.8,-0.5,0.21623,0,0,0
19,0.8,-0.5,0.21467,0,0,0
19.2,0.8,-0.5,0.2134,0,0,0
19.4,0.8,-0.5,0.21241,0,0,0
19.6,0.8,-0.5,0.21171,0,0,0
19.8,0.8,-0.5,0.21128,0,0,0
20,0.8,-0.5,0.21114,0,0,0
0,1,-0.5,0.78887,0,0,0
0.2,1,-0.5,0.78873,0,0,0
0.4,1,-0.5,0.7883,0,0,0
0.6,1,-0.5,0.78759,0,0,0
0.8,1,-0.5,0.78661,0,0,0
1,1,-0.5,0.78533,0,0,0
1.2,1,-0.5,0.78378,0,0,0
1.4,1,-0.5,0.78195,0,0,0
1.6,1,-0.5,0.77984,0,0,0
1.8,1,-0.5,0.77746,0,0,0
2,1,-0.5,0.77481,0,0,0
2.2,1,-0.5,0.77188,0,0,0
2.4,1,-0.5,0.76868,0,0,0
2.6,1,-0.5,0.76523,0,0,0
2.8,1,-0.5,0.76151,0,0,0
3,1,-0.5,0.75753,0,0,0
3.2,1,-0.5,0.7533,0,0,0
3.4,1,-0.5,0.74881,0,0,0
3.6,1,-0.5,0.74409,0,0,0
3.8,1,-0.5,0.73912,0,0,0
4,1,-0.5,0.73391,0,0,0
4.2,1,-0.5,0.72848,0,0,0
4.4,1,-0.5,0.72281,0,0,0
